ticker,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
AAPL,315.36,319.75,314.61,319.0,38190545.0
AMZN,2125.02,2166.07,2124.105,2155.67,2951070.0
FB,213.55,217.975,213.4,217.8,15630026.0
GOOG,1515.0,1531.63,1512.59,1519.67,1121140.0
MSFT,185.605,187.7,185.5,187.23,27853113.0
NFLX,379.3,389.54,379.19,387.78,5180400.0
TSLA,841.6,860.0,832.36,858.4,16698369.0
AAPL,320.0,324.57,320.0,323.62,23495991.0
AMZN,2167.8,2185.1,2161.12,2170.22,2561165.0
FB,217.99,218.32,216.11,217.49,12135114.0
GOOG,1525.07,1532.106,1521.4,1526.69,949268.0
MSFT,188.06,188.18,186.47,187.28,29997471.0
NFLX,388.12,392.95,384.9,386.19,4896368.0
TSLA,923.5,944.78,901.02,917.42,25422958.0
AAPL,322.63,324.65,318.21,320.3,25141489.0
AMZN,2173.07,2176.79,2127.45,2153.1,3131342.0
FB,216.52,218.765,212.945,214.58,13109213.0
GOOG,1522.0,1529.64,1506.82,1518.15,1096552.0
MSFT,186.95,187.25,181.1,184.42,36862376.0
NFLX,386.56,389.7,376.68,386.0,4079425.0
TSLA,911.95,912.0,859.94,899.41,17634893.0
AAPL,318.62,320.45,310.5,313.05,32426415.0
AMZN,2142.15,2144.55,2088.0,2095.97,4650740.0
FB,213.48,214.237,208.831,210.18,14098432.0
GOOG,1508.03,1512.215,1480.44,1485.11,1732273.0
MSFT,183.17,183.5,177.25,178.59,48600385.0
NFLX,385.33,387.32,377.901,380.07,3935618.0
TSLA,906.98,913.06,880.45,901.0,14339446.0
AAPL,297.26,304.18,289.23,298.18,55548828.0
AMZN,2003.18,2039.295,1987.974,2009.29,6546997.0
FB,201.8,203.65,198.17,200.72,23080057.0
GOOG,1426.11,1436.97,1411.39,1421.59,2867053.0
MSFT,167.77,174.55,163.23,170.89,68311066.0
NFLX,364.76,372.82,361.0,368.7,6936418.0
TSLA,839.0,863.5,822.2,833.79,15192163.0
AAPL,300.95,302.53,286.13,288.08,57668364.0
AMZN,2026.42,2034.6,1958.42,1972.74,6219094.0
FB,202.25,203.5,195.954,196.77,21433487.0
GOOG,1433.0,1438.14,1382.4,1388.45,2478278.0
MSFT,174.2,174.84,167.6462,168.07,68073295.0
NFLX,372.0,375.65,357.72,360.09,6481243.0
TSLA,849.0,856.6,787.0,799.91,17290481.0
AAPL,286.53,297.88,286.5,292.65,49678431.0
AMZN,1970.28,2014.67,1960.45,1979.59,5240402.0
FB,197.19,201.21,195.49,197.2,16555210.0
GOOG,1396.14,1415.7,1379.0,1393.18,2204037.0
MSFT,169.71,173.26,168.21,170.17,56387148.0
NFLX,366.31,382.0,365.0,379.24,8961126.0
TSLA,782.5,813.31,776.11,778.8,14153843.0
AAPL,281.1,286.0,272.96,273.52,80151381.0
AMZN,1934.38,1975.0,1882.7620000000002,1884.3,8143993.0
FB,191.82,195.88,189.5,189.75,21682626.0
GOOG,1362.06,1371.704,1317.17,1318.09,2978300.0
MSFT,163.32,167.03,157.98,158.18,93174906.0
NFLX,371.46,391.56199999999995,370.596,371.71,10967699.0
TSLA,730.0,739.77,669.0,679.0,24277160.0
AAPL,257.26,278.41,256.37,273.36,106721230.0
AMZN,1814.63,1889.76,1811.129,1883.75,9493797.0
FB,182.695,192.74,181.82,192.47,32583494.0
GOOG,1277.5,1341.14,1271.0,1339.33,3790618.0
MSFT,152.41,163.71,152.0,162.01,97073557.0
NFLX,364.21,376.77,356.8,369.03,11178572.0
TSLA,629.7,690.52,611.52,667.99,24564171.0
AAPL,282.28,301.44,277.72,298.81,85349339.0
AMZN,1906.49,1954.51,1870.0,1953.95,6761651.0
FB,194.03,196.57,188.85,196.44,24948955.0
GOOG,1351.61,1390.87,1326.815,1389.11,2431468.0
MSFT,165.31,172.92,162.31,172.79,71030810.0
NFLX,373.11,381.36,364.50199999999995,381.05,6997891.0
TSLA,711.26,743.69,686.67,743.62,20194991.0
AAPL,303.67,304.0,285.8,289.32,79868852.0
AMZN,1975.37,1996.33,1888.09,1908.99,7534491.0
FB,196.22,197.24,183.97,185.89,27984104.0
GOOG,1399.42,1410.15,1332.0,1341.39,2402326.0
MSFT,173.8,175.0,162.26,164.51,71677019.0
NFLX,381.03,393.52,367.4,368.77,8364623.0
TSLA,805.0,806.98,716.1110000000001,745.51,25784003.0
AAPL,296.44,303.4,293.13,302.74,54794568.0
AMZN,1946.57,1978.0,1922.0,1975.83,4772919.0
FB,189.17,191.83,186.39,191.76,23062473.0
GOOG,1359.23,1388.09,1343.11,1386.52,1913315.0
MSFT,168.485,170.7,165.62,170.55,49814383.0
NFLX,377.77,384.01,370.51,383.79,5487340.0
TSLA,763.96,766.52,724.735,749.5,15048977.0
AAPL,295.52,299.55,291.41,292.92,46893219.0
AMZN,1933.0,1960.72,1910.0,1924.03,4748210.0
FB,186.78,188.99,183.89,185.17,19333425.0
GOOG,1350.2,1358.91,1305.1,1319.04,2561288.0
MSFT,166.045,170.87,165.69,166.27,47817251.0
NFLX,381.0,391.4,368.64,372.78,8746985.0
TSLA,723.77,745.75,718.07,724.54,10852657.0
AAPL,282.0,290.82,281.23,289.03,56544246.0
AMZN,1875.0,1910.87,1869.5,1901.09,5273580.0
FB,178.33,183.78,176.26,181.09,24559550.0
GOOG,1277.06,1306.22,1261.05,1298.41,2660628.0
MSFT,162.61,163.11,156.0,161.57,72821057.0
NFLX,367.7,371.31,356.85,368.97,8147165.0
TSLA,690.0039999999999,707.0,684.27,703.48,12662918.0
AAPL,263.75,278.09,263.0,266.17,71686208.0
AMZN,1773.86,1862.77,1761.29,1800.61,7813232.0
FB,169.6,175.0,165.19,169.5,29949041.0
GOOG,1205.3,1254.76,1200.0,1215.56,3365365.0
MSFT,151.0,157.75,150.0,150.62,70419274.0
NFLX,343.86,357.47,341.721,346.49,7405458.0
TSLA,605.39,662.998,605.0,608.0,17073740.0
AAPL,277.14,286.44,269.37,285.34,71322520.0
AMZN,1870.88,1894.27,1818.17,1891.82,7133310.0
FB,174.67,178.29,169.5,178.19,24517791.0
GOOG,1260.0,1281.15,1218.77,1280.39,2611373.0
MSFT,158.16,161.03,152.58,160.92,65354385.0
NFLX,356.425,364.54,347.85,364.13,7604444.0
TSLA,659.43,668.0,608.0,645.33,15594443.0
AAPL,277.39,281.22,271.86,275.43,64094970.0
AMZN,1857.85,1871.319,1801.5,1820.86,5646831.0
FB,174.01,175.88,167.66,170.24,20397204.0
GOOG,1249.7,1260.96,1196.07,1215.41,2611229.0
MSFT,157.13,157.7,151.15,153.63,56504304.0
NFLX,358.92,362.98,344.79,349.92,6058782.0
TSLA,640.2,653.58,613.0,634.23,13413587.0
AAPL,255.94,270.0,248.0,248.23,104618517.0
AMZN,1721.98,1765.0,1675.0,1676.61,11346214.0
FB,159.54,166.6,154.34,154.47,43266335.0
GOOG,1126.0,1193.87,1113.3,1114.91,4226748.0
MSFT,145.3,153.47,138.58,139.06,93226366.0
NFLX,326.5,335.72,307.32,315.25,12071591.0
TSLA,580.89,594.5,546.25,560.55,18909052.0
AAPL,264.89,279.92,252.95,277.97,92683032.0
AMZN,1755.0,1786.31,1680.62,1785.0,8809725.0
FB,163.53,170.79,157.6,170.28,35028627.0
GOOG,1179.0,1219.76,1117.143,1219.73,3700125.0
MSFT,147.5,161.91,140.73,158.83,92727446.0
NFLX,330.51,336.42,307.39,336.295,9458197.0
TSLA,595.0,607.57,502.0,546.62,22640254.0
AAPL,241.95,259.08,240.0,242.21,80605865.0
AMZN,1641.51,1759.4520000000002,1626.0320000000002,1689.15,8917265.0
FB,152.32,159.13,143.1,146.01,39120419.0
